system:index,SO2_column_number_density,city,.geo
116,4.677861763926135E-4,Mancherial,"{""type"":""Point"",""coordinates"":[79.4287,18.870800000000003]}"
117,4.9193657040798174E-5,Mandya,"{""type"":""Point"",""coordinates"":[76.8951,12.524399999999998]}"
118,1.077246071614249E-4,Mangalore,"{""type"":""Point"",""coordinates"":[74.856,12.9141]}"
119,1.8695236298677835E-4,Mathura,"{""type"":""Point"",""coordinates"":[77.6737,27.4924]}"
120,2.8547405273850543E-4,Meerut,"{""type"":""Point"",""coordinates"":[77.7064,28.984499999999997]}"
121,2.26545939381034E-4,Mira-Bhayandar,"{""type"":""Point"",""coordinates"":[72.8544,19.295200000000005]}"
122,1.9778828033480028E-4,Moradabad,"{""type"":""Point"",""coordinates"":[78.7733,28.8386]}"
123,1.770750775547923E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
124,3.0193314946166553E-4,Munger,"{""type"":""Point"",""coordinates"":[86.4735,25.3746]}"
125,2.8979658863628933E-4,Muzaffarnagar,"{""type"":""Point"",""coordinates"":[77.7041,29.473700000000004]}"
126,2.2926863180837572E-4,Muzaffarpur,"{""type"":""Point"",""coordinates"":[85.3647,26.1209]}"
127,-1.342266262136951E-5,Mysore,"{""type"":""Point"",""coordinates"":[76.6394,12.295800000000002]}"
128,3.623143193451736E-4,Nagpur,"{""type"":""Point"",""coordinates"":[79.0882,21.145800000000005]}"
129,2.9517884531579707E-4,Naihati,"{""type"":""Point"",""coordinates"":[88.4194,22.894800000000004]}"
130,1.4716166502655635E-4,Nanded,"{""type"":""Point"",""coordinates"":[77.321,19.138299999999997]}"
131,2.0771513923348306E-4,Nashik,"{""type"":""Point"",""coordinates"":[73.7898,19.997500000000002]}"
132,2.5125697500442463E-4,Navi Mumbai,"{""type"":""Point"",""coordinates"":[73.0297,19.033]}"
133,2.6708281838879697E-4,Navsari,"{""type"":""Point"",""coordinates"":[72.952,20.946700000000003]}"
