system:index,Aerosol_Height,City,.geo
175,2966.2098992809642,Srinagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,1280.5335770615568,Surat,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,1133.8712546342952,Thane,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2143.3234589446292,Thanjavur,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,1314.7704049539957,Thrissur,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,1597.0678470876076,Tiruchirappalli,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,1373.800518885144,Tirunelveli,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,1556.478578761464,Tirupati,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,1472.959720847705,Tiruppur,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,,Tiruvottiyur,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2675.639672286762,Tumkur,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,1756.710412997531,Udaipur,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,1996.4430412734566,Ujjain,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,1197.7243546085056,Ulhasnagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,1130.5894899572302,Vadodara,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,1439.1782293233246,Varanasi,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,905.8026539849349,Vasai-Virar,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,1640.9805388609914,Vellore,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,877.451811813316,Vijayanagaram,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,1066.9955128535046,Vijayawada,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,1708.1050282933875,Viluppuram,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,859.2667655984831,Visakhapatnam,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,900.4903096792434,Warangal,"{""type"":""MultiPoint"",""coordinates"":[]}"
