system:index,city,mean_AOD,.geo
144,Patna,730.2438016528926,"{""type"":""Point"",""coordinates"":[85.1376,25.5941]}"
145,Pimpri-Chinchwad,560.3942307692307,"{""type"":""Point"",""coordinates"":[73.7997,18.629799999999996]}"
146,Puducherry,607.0328947368421,"{""type"":""Point"",""coordinates"":[79.8083,11.941600000000001]}"
147,Pune,567.991017964072,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
148,Purnia,830.9431818181818,"{""type"":""Point"",""coordinates"":[87.4753,25.7771]}"
149,Raichur,700.3965517241379,"{""type"":""Point"",""coordinates"":[77.3566,16.2076]}"
150,Raipur,860.4516129032259,"{""type"":""Point"",""coordinates"":[81.6296,21.2514]}"
151,Rajahmundry,796.0857142857143,"{""type"":""Point"",""coordinates"":[81.804,17.0005]}"
152,Rajkot,437.2137096774194,"{""type"":""Point"",""coordinates"":[70.8022,22.3039]}"
153,Rajnandgaon,882.452380952381,"{""type"":""Point"",""coordinates"":[81.0299,21.0974]}"
154,Rampur,623.377049180328,"{""type"":""Point"",""coordinates"":[79.025,28.789499999999997]}"
155,Ranchi,604.4444444444445,"{""type"":""Point"",""coordinates"":[85.3096,23.3441]}"
156,Ratlam,466.5940170940171,"{""type"":""Point"",""coordinates"":[75.037,23.3342]}"
157,Rayagada,892.1830357142857,"{""type"":""Point"",""coordinates"":[83.4162,19.1726]}"
158,Rohtak,531.0645161290322,"{""type"":""Point"",""coordinates"":[76.6066,28.895500000000002]}"
159,Roorkee,563.2272727272727,"{""type"":""Point"",""coordinates"":[77.888,29.8543]}"
160,Saharanpur,549.8067010309278,"{""type"":""Point"",""coordinates"":[77.5452,29.967900000000004]}"
161,Salem,602.5046728971963,"{""type"":""Point"",""coordinates"":[78.146,11.6643]}"
162,Sambalpur,950.5964912280701,"{""type"":""Point"",""coordinates"":[83.9812,21.466900000000003]}"
163,Sangli,574.3646408839779,"{""type"":""Point"",""coordinates"":[74.5815,16.8524]}"
164,Satara,489.81021897810217,"{""type"":""Point"",""coordinates"":[74.0183,17.68049999999999]}"
165,Shahjahanpur,685.7292817679559,"{""type"":""Point"",""coordinates"":[79.9094,27.8815]}"
166,Shimla,335.5101351351351,"{""type"":""Point"",""coordinates"":[77.1734,31.104800000000004]}"
167,Shivamogga,579.7450980392157,"{""type"":""Point"",""coordinates"":[75.5681,13.9299]}"
168,Shivpuri,493.8666666666667,"{""type"":""Point"",""coordinates"":[77.657,25.423500000000004]}"
169,Sikar,528.9074074074074,"{""type"":""Point"",""coordinates"":[75.1399,27.609399999999997]}"
170,Siliguri,993.4285714285713,"{""type"":""Point"",""coordinates"":[88.39530000000002,26.7271]}"
171,Singrauli,667.5969387755101,"{""type"":""Point"",""coordinates"":[82.6754,24.199]}"
172,Sitapur,674.9625668449198,"{""type"":""Point"",""coordinates"":[80.6744,27.561900000000005]}"
173,Solapur,616.5471014492754,"{""type"":""Point"",""coordinates"":[75.90640000000002,17.6599]}"
174,South Dumdum,916.1079136690648,"{""type"":""Point"",""coordinates"":[88.4,22.61]}"
175,Srinagar,300.4756097560976,"{""type"":""Point"",""coordinates"":[74.79730000000002,34.08370000000001]}"
176,Surat,559.3448275862069,"{""type"":""Point"",""coordinates"":[72.8311,21.1702]}"
177,Thane,544.5740740740741,"{""type"":""Point"",""coordinates"":[72.9781,19.2183]}"
178,Thanjavur,561.6938775510205,"{""type"":""Point"",""coordinates"":[79.1378,10.786700000000003]}"
179,Thrissur,546.4191919191919,"{""type"":""Point"",""coordinates"":[76.2144,10.5276]}"
180,Tiruchirappalli,526.9827586206897,"{""type"":""Point"",""coordinates"":[78.7047,10.790500000000002]}"
181,Tirunelveli,527.5921052631579,"{""type"":""Point"",""coordinates"":[77.75670000000001,8.7139]}"
182,Tirupati,600.4035087719299,"{""type"":""Point"",""coordinates"":[79.4192,13.6288]}"
183,Tiruppur,623.0481927710844,"{""type"":""Point"",""coordinates"":[77.3411,11.108500000000001]}"
184,Tiruvottiyur,518.2826086956522,"{""type"":""Point"",""coordinates"":[80.3042,13.157800000000002]}"
185,Tumkur,549.2530120481928,"{""type"":""Point"",""coordinates"":[77.101,13.340899999999998]}"
186,Udaipur,441.7638888888889,"{""type"":""Point"",""coordinates"":[73.7125,24.5854]}"
187,Ujjain,503.92672413793105,"{""type"":""Point"",""coordinates"":[75.7849,23.1793]}"
188,Ulhasnagar,535.3040935672515,"{""type"":""Point"",""coordinates"":[73.16450000000002,19.221500000000002]}"
189,Vadodara,564.7294520547946,"{""type"":""Point"",""coordinates"":[73.1812,22.30720000000001]}"
190,Varanasi,666.4391891891892,"{""type"":""Point"",""coordinates"":[82.9739,25.3176]}"
191,Vasai-Virar,522.3522727272727,"{""type"":""Point"",""coordinates"":[72.8397,19.391900000000003]}"
192,Vellore,535.7718446601941,"{""type"":""Point"",""coordinates"":[79.1325,12.9165]}"
193,Vijayanagaram,975.05859375,"{""type"":""Point"",""coordinates"":[83.39560000000002,18.1165]}"
194,Vijayawada,728.7808988764045,"{""type"":""Point"",""coordinates"":[80.648,16.5062]}"
195,Viluppuram,558.8309859154929,"{""type"":""Point"",""coordinates"":[79.4924,11.9398]}"
196,Visakhapatnam,866.2411347517731,"{""type"":""Point"",""coordinates"":[83.2185,17.6868]}"
197,Warangal,871.8141592920354,"{""type"":""Point"",""coordinates"":[79.5941,17.9784]}"
