system:index,SoilMoi0_10cm_inst,city,.geo
112,24.95720100402832,Madurai,"{""type"":""Point"",""coordinates"":[78.1198,9.925199999999998]}"
113,27.93671226501465,Maheshtala,"{""type"":""Point"",""coordinates"":[88.2532,22.5086]}"
114,26.42890167236328,Malappuram,"{""type"":""Point"",""coordinates"":[76.0748,11.073499999999997]}"
115,20.227813720703125,Malegaon,"{""type"":""Point"",""coordinates"":[74.5288,20.553699999999996]}"
116,21.4985294342041,Mancherial,"{""type"":""Point"",""coordinates"":[79.4287,18.870800000000003]}"
117,19.917407989501953,Mandya,"{""type"":""Point"",""coordinates"":[76.8951,12.524399999999998]}"
118,26.442947387695312,Mangalore,"{""type"":""Point"",""coordinates"":[74.856,12.9141]}"
119,16.068744659423828,Mathura,"{""type"":""Point"",""coordinates"":[77.6737,27.4924]}"
120,15.576676368713379,Meerut,"{""type"":""Point"",""coordinates"":[77.7064,28.984499999999997]}"
121,20.379581451416016,Mira-Bhayandar,"{""type"":""Point"",""coordinates"":[72.8544,19.295200000000005]}"
122,14.546845436096191,Moradabad,"{""type"":""Point"",""coordinates"":[78.7733,28.8386]}"
123,28.726472854614258,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
124,14.777298927307129,Munger,"{""type"":""Point"",""coordinates"":[86.4735,25.3746]}"
125,12.912346839904785,Muzaffarnagar,"{""type"":""Point"",""coordinates"":[77.7041,29.473700000000004]}"
126,15.39391040802002,Muzaffarpur,"{""type"":""Point"",""coordinates"":[85.3647,26.1209]}"
127,22.990028381347656,Mysore,"{""type"":""Point"",""coordinates"":[76.6394,12.295800000000002]}"
128,27.373355865478516,Nagpur,"{""type"":""Point"",""coordinates"":[79.0882,21.145800000000005]}"
129,23.351835250854492,Naihati,"{""type"":""Point"",""coordinates"":[88.4194,22.894800000000004]}"
130,21.079511642456055,Nanded,"{""type"":""Point"",""coordinates"":[77.321,19.138299999999997]}"
131,20.58001136779785,Nashik,"{""type"":""Point"",""coordinates"":[73.7898,19.997500000000002]}"
132,21.910980224609375,Navi Mumbai,"{""type"":""Point"",""coordinates"":[73.0297,19.033]}"
133,14.176182746887207,Navsari,"{""type"":""Point"",""coordinates"":[72.952,20.946700000000003]}"
134,17.353439331054688,Nellore,"{""type"":""Point"",""coordinates"":[79.98650000000002,14.442600000000002]}"
135,21.464130401611328,Nizamabad,"{""type"":""Point"",""coordinates"":[78.0941,18.6725]}"
136,27.468477249145508,Noida,"{""type"":""Point"",""coordinates"":[77.391,28.535500000000003]}"
137,,Ozhukarai,"{""type"":""Point"",""coordinates"":[79.7852,11.934099999999999]}"
138,22.321256637573242,Palakkad,"{""type"":""Point"",""coordinates"":[76.6548,10.7867]}"
139,14.41248893737793,Pali,"{""type"":""Point"",""coordinates"":[73.3234,25.772500000000004]}"
140,27.93671226501465,Panihati,"{""type"":""Point"",""coordinates"":[88.3748,22.690200000000004]}"
141,14.210017204284668,Panipat,"{""type"":""Point"",""coordinates"":[76.9635,29.390900000000002]}"
142,20.47631072998047,Parbhani,"{""type"":""Point"",""coordinates"":[76.77670000000002,19.2704]}"
