system:index,city,tropospheric_NO2_column_number_density,.geo
170,Siliguri,4.0768144352630415E-5,"{""type"":""Point"",""coordinates"":[88.39530000000002,26.7271]}"
171,Singrauli,1.8863093381909742E-4,"{""type"":""Point"",""coordinates"":[82.6754,24.199]}"
172,Sitapur,4.680494632487699E-5,"{""type"":""Point"",""coordinates"":[80.6744,27.561900000000005]}"
173,Solapur,5.087021901446915E-5,"{""type"":""Point"",""coordinates"":[75.90640000000002,17.6599]}"
174,South Dumdum,9.211947712668845E-5,"{""type"":""Point"",""coordinates"":[88.4,22.61]}"
175,Srinagar,4.1079201259914846E-5,"{""type"":""Point"",""coordinates"":[74.79730000000002,34.08370000000001]}"
176,Surat,8.30045899070857E-5,"{""type"":""Point"",""coordinates"":[72.8311,21.1702]}"
177,Thane,8.396865003090353E-5,"{""type"":""Point"",""coordinates"":[72.9781,19.2183]}"
178,Thanjavur,2.512815118943316E-5,"{""type"":""Point"",""coordinates"":[79.1378,10.786700000000003]}"
179,Thrissur,2.888792940060801E-5,"{""type"":""Point"",""coordinates"":[76.2144,10.5276]}"
180,Tiruchirappalli,3.2872099305320585E-5,"{""type"":""Point"",""coordinates"":[78.7047,10.790500000000002]}"
181,Tirunelveli,2.5828335547545977E-5,"{""type"":""Point"",""coordinates"":[77.75670000000001,8.7139]}"
182,Tirupati,3.1621147292914804E-5,"{""type"":""Point"",""coordinates"":[79.4192,13.6288]}"
183,Tiruppur,4.114583849995299E-5,"{""type"":""Point"",""coordinates"":[77.3411,11.108500000000001]}"
184,Tiruvottiyur,4.3623983075255775E-5,"{""type"":""Point"",""coordinates"":[80.3042,13.157800000000002]}"
185,Tumkur,3.8052074855146794E-5,"{""type"":""Point"",""coordinates"":[77.101,13.340899999999998]}"
186,Udaipur,4.9828367970366584E-5,"{""type"":""Point"",""coordinates"":[73.7125,24.5854]}"
187,Ujjain,3.4990120077616004E-5,"{""type"":""Point"",""coordinates"":[75.7849,23.1793]}"
188,Ulhasnagar,8.002686517452836E-5,"{""type"":""Point"",""coordinates"":[73.16450000000002,19.221500000000002]}"
189,Vadodara,8.594910324202826E-5,"{""type"":""Point"",""coordinates"":[73.1812,22.30720000000001]}"
190,Varanasi,5.687372481221535E-5,"{""type"":""Point"",""coordinates"":[82.9739,25.3176]}"
191,Vasai-Virar,4.586378832817488E-5,"{""type"":""Point"",""coordinates"":[72.8397,19.391900000000003]}"
192,Vellore,3.0536852742090204E-5,"{""type"":""Point"",""coordinates"":[79.1325,12.9165]}"
193,Vijayanagaram,3.688556176906086E-5,"{""type"":""Point"",""coordinates"":[83.39560000000002,18.1165]}"
194,Vijayawada,5.0400957995797794E-5,"{""type"":""Point"",""coordinates"":[80.648,16.5062]}"
195,Viluppuram,3.5025728075097584E-5,"{""type"":""Point"",""coordinates"":[79.4924,11.9398]}"
196,Visakhapatnam,8.563327851370315E-5,"{""type"":""Point"",""coordinates"":[83.2185,17.6868]}"
197,Warangal,3.633966882792021E-5,"{""type"":""Point"",""coordinates"":[79.5941,17.9784]}"
