system:index,City,PM25,.geo
152,Rajkot,0.3465609763236626,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,Rajnandgaon,-0.2969218664069084,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,Rampur,0.10384419002374486,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,Ranchi,-0.2826974734738986,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,Ratlam,-0.12702252757625296,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,Rayagada,-0.44661344709677947,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,Rohtak,0.1849009116226025,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,Roorkee,0.0845363639344462,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,Saharanpur,0.1452911657804486,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,Salem,-0.3606233152565545,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,Sambalpur,-0.39115753093479033,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,Sangli,-0.30763128906517867,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,Satara,-0.34216095462951496,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,Shahjahanpur,0.1253607268797958,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,Shimla,-0.42296267224653045,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,Shivamogga,-0.42077807834346753,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,Shivpuri,-0.21319765359645013,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,Sikar,0.13235172756804514,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,Siliguri,-0.06590967544843346,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,Singrauli,-0.1594220498113574,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,Sitapur,0.11237192798294875,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,Solapur,-0.2411962362294298,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,South Dumdum,-0.19149854197766866,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,Srinagar,-0.3739049808699818,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,Surat,0.14642216962231067,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,Thane,-0.15563152507145117,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,Thanjavur,-0.4432850901873477,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,Thrissur,-0.550042475240355,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,Tiruchirappalli,-0.3867042469107948,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,Tirunelveli,-0.5319337138250216,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,Tirupati,-0.36348543483477586,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,Tiruppur,-0.27340748314820074,"{""type"":""MultiPoint"",""coordinates"":[]}"
